"Name","Version","Summary","CanonicalId","InstallLocation","InstallDate","UninstallString","QuietUninstallString","ProductGUID"
"Autodesk Identity Manager","1.11.9.11",,"programs:Autodesk Identity Manager/1.11.9.11",,,,,
"ClipName 64 Bit","1.5",,"programs:ClipName 64 Bit/1.2",,,,,
"Microsoft 365 Apps for business - en-us","16.0.17425.20176",,"programs:Microsoft 365 Apps for business - en-us/16.0.17425.20176",,,,,
"Microsoft OneDrive","24.076.0414.0005",,"programs:Microsoft OneDrive/24.076.0414.0005",,,,,
"Intel(R) Management Engine Components","2313.4.16.0",,"programs:Intel(R) Management Engine Components/2313.4.16.0",,,,,
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Caution. Removing this product might prevent some applications from running.","programs:Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219/10.0.40219",,,,,
"Microsoft Update Health Tools","3.74.0.0",,"programs:Microsoft Update Health Tools/3.74.0.0",,,,,
"Dell Command | Update for Windows Universal","5.1.0","Scan your system, download, and apply the latest device driver and system bios updates.","programs:Dell Command | Update for Windows Universal/5.1.0",,,,,
"FortiClient VPN","7.2.2.0864",,"programs:FortiClient VPN/7.2.2.0864",,,,,
"Autodesk DWG TrueView 2024 - English","24.3.61.0",,"programs:Autodesk DWG TrueView 2024 - English/24.3.61.0",,,,,
"Dell PointStick Driver","10.3201.101.312",,"programs:Dell PointStick Driver/10.3201.101.312",,,,,
"Intel(R) Serial IO","30.100.2020.7",,"programs:Intel(R) Serial IO/30.100.2020.7",,,,,
"Autodesk Access","2.5.0.107",,"programs:Autodesk Access/2.5.0.107",,,,,
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.09203",,"programs:Microsoft Teams Meeting Add-in for Microsoft Office/1.24.09203",,,,,
"Dell ControlVault Host Components Installer 64 bit","5.9.8.17",,"programs:Dell ControlVault Host Components Installer 64 bit/5.9.8.17",,,,,
"Google Earth Pro","7.3.6.9345",,"programs:Google Earth Pro/7.3.6.9345",,,,,
"Adobe Creative Cloud","6.1.0.587.7",,"programs:Adobe Creative Cloud/6.1.0.587.7",,,,,
"Total Access Memo 2007 Runtime","12.10.0004",,"programs:Total Access Memo 2007 Runtime/12.10.0004",,,,,
"Microsoft Edge","124.0.2478.80",,"programs:Microsoft Edge/124.0.2478.80",,,,,
"Microsoft Edge Update","1.3.185.29",,"programs:Microsoft Edge Update/1.3.185.29",,,,,
"Microsoft Edge WebView2 Runtime","124.0.2478.80",,"programs:Microsoft Edge WebView2 Runtime/124.0.2478.80",,,,,
"Microsoft ASP.NET Core 6.0.29 - Shared Framework (x64)","6.0.29.24171",,"programs:Microsoft ASP.NET Core 6.0.29 - Shared Framework (x64)/6.0.29.24171",,,,,
"Microsoft Intune Management Extension","1.78.103.0",,"programs:Microsoft Intune Management Extension/1.78.103.0",,,,,
"Realtek USB Ethernet Controller All-In-One Windows Driver","10.56.20.1104",,"programs:Realtek USB Ethernet Controller All-In-One Windows Driver/10.56.20.1104",,,,,
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664","12.0.40664.0",,"programs:Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664/12.0.40664.0",,,,,
"Microsoft Windows Desktop Runtime - 5.0.17 (x86)","5.0.17.31219",,"programs:Microsoft Windows Desktop Runtime - 5.0.17 (x86)/5.0.17.31219",,,,,
"Realtek USB Audio","6.3.9600.2330",,"programs:Realtek USB Audio/6.3.9600.2330",,,,,
