"Name","Version","Summary","CanonicalId","InstallLocation","InstallDate","UninstallString","QuietUninstallString","ProductGUID"
"ClipName",,,"programs:ClipName",,,,,
"Autodesk DWG TrueView 2020 - English","23.0.46.0",,"programs:Autodesk DWG TrueView 2019 - English/23.0.46.0",,,,,
"Microsoft 365 Apps for business - en-us","16.0.17425.20176",,"programs:Microsoft 365 Apps for business - en-us/16.0.17425.20176",,,,,
"Microsoft OneDrive","24.070.0407.0003",,"programs:Microsoft OneDrive/24.070.0407.0003",,,,,
"Update for Windows 10 for x64-based Systems (KB4480730)","2.55.0.0",,"programs:Update for Windows 10 for x64-based Systems (KB4480730)/2.55.0.0",,,,,
"Intel(R) Management Engine Components","11.7.0.1054",,"programs:Intel(R) Management Engine Components/11.7.0.1054",,,,,
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Caution. Removing this product might prevent some applications from running.","programs:Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219/10.0.40219",,,,,
"Microsoft Update Health Tools","3.74.0.0",,"programs:Microsoft Update Health Tools/3.74.0.0",,,,,
"Google Earth Pro","7.3.6.9796",,"programs:Google Earth Pro/7.3.6.9796",,,,,
"Intel(R) Rapid Storage Technology","15.9.1.1020",,"programs:Intel(R) Rapid Storage Technology/15.9.1.1020",,,,,
"PeaZip 9.1.0 (WIN64)","9.1.0",,"programs:PeaZip 9.1.0 (WIN64)/9.1.0",,,,,
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161",,"programs:Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161/9.0.30729.6161",,,,,
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.09203",,"programs:Microsoft Teams Meeting Add-in for Microsoft Office/1.24.09203",,,,,
"Adobe Acrobat (64-bit)","24.001.20643",,"programs:Adobe Acrobat (64-bit)/24.001.20643",,,,,
"Adobe Genuine Service","8.4.0.63",,"programs:Adobe Genuine Service/8.4.0.63",,,,,
"Microsoft Edge","124.0.2478.67",,"programs:Microsoft Edge/124.0.2478.67",,,,,
"Microsoft Edge Update","1.3.185.29",,"programs:Microsoft Edge Update/1.3.185.29",,,,,
"Microsoft Edge WebView2 Runtime","123.0.2420.97",,"programs:Microsoft Edge WebView2 Runtime/123.0.2420.97",,,,,
"Microsoft Intune Management Extension","1.78.103.0",,"programs:Microsoft Intune Management Extension/1.78.103.0",,,,,
"GoTo Opener","1.0.530","GoTo Opener Application","programs:GoTo Opener/1.0.530",,,,,
"Dell SecureWorks Ignition","2.8.5.0",,"programs:Dell SecureWorks Ignition/2.8.5.0",,,,,
"Realtek Audio COM Components","1.0.2",,"programs:Realtek Audio COM Components/1.0.2",,,,,
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030","11.0.61030.0",,"programs:Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030/11.0.61030.0",,,,,
"Dell SecureWorks Red Cloak","2.8.5.0",,"programs:Dell SecureWorks Red Cloak/2.8.5.0",,,,,
"Microsoft Visual C++ 2017 Redistributable (x86) - 14.12.25810","14.12.25810.0",,"programs:Microsoft Visual C++ 2017 Redistributable (x86) - 14.12.25810/14.12.25810.0",,,,,
"Teams Machine-Wide Installer","1.5.0.2164",,"programs:Teams Machine-Wide Installer/1.5.0.2164",,,,,
"VMware Horizon Client","4.8.0.1562",,"programs:VMware Horizon Client/4.8.0.1562",,,,,
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161",,"programs:Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161/9.0.30729.6161",,,,,
"Microsoft Search in Bing","2.0.2",,"programs:Microsoft Search in Bing/2.0.2",,,,,
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030","11.0.61030.0",,"programs:Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030/11.0.61030.0",,,,,
"Zoho Assist Unattended Agent","1.00.0001",,"programs:Zoho Assist Unattended Agent/1.00.0001",,,,,
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.12.25810","14.12.25810.0",,"programs:Microsoft Visual C++ 2017 Redistributable (x64) - 14.12.25810/14.12.25810.0",,,,,
"Dell Command | Update","2.3.1","Scan your system, download, and apply the latest device driver and system bios updates.","programs:Dell Command | Update/2.3.1",,,,,
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Caution. Removing this product might prevent some applications from running.","programs:Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219/10.0.40219",,,,,
"Realtek High Definition Audio Driver","6.0.9175.1",,"programs:Realtek High Definition Audio Driver/6.0.9175.1",,,,,
